model,cat,cat_cn
g20,sweeping,扫地机
g20上下水版,sweeping,扫地机
g20上下水,sweeping,扫地机
p10s,sweeping,扫地机
p10s上下水版,sweeping,扫地机
p10s上下水,sweeping,扫地机
p10spro,sweeping,扫地机
p10spro上下水版,sweeping,扫地机
p10spro上下水,sweeping,扫地机
g10spure,sweeping,扫地机
g10spure上下水版,sweeping,扫地机
g10spure上下水,sweeping,扫地机
g10spro,sweeping,扫地机
g10spro上下水版,sweeping,扫地机
g10spro上下水,sweeping,扫地机
p10,sweeping,扫地机
p10上下水版,sweeping,扫地机
p10上下水,sweeping,扫地机
g10s,sweeping,扫地机
g10s上下水版,sweeping,扫地机
g10s上下水,sweeping,扫地机
p10pro,sweeping,扫地机
p10pro上下水版,sweeping,扫地机
p10pro上下水,sweeping,扫地机
g10sauto,sweeping,扫地机
g10sauto上下水版,sweeping,扫地机
g10sauto上下水,sweeping,扫地机
a10ultra,mopping,洗地机
a10ultrae,mopping,洗地机
a10,mopping,洗地机
a10plus,mopping,洗地机
a20,mopping,洗地机
a20pro,mopping,洗地机
a20air,mopping,洗地机
h1,washing,洗衣机
h1neo,washing,洗衣机
m1,washing,洗衣机
h6,vacuum,吸尘器
h7,vacuum,吸尘器
u10,mopping,洗地机
洗地机全型号,mopping,洗地机
智能烘干套件,sweeping,扫地机
智能集尘充电座,sweeping,扫地机
自动集尘充电座,sweeping,扫地机
p5,sweeping,扫地机
s5,sweeping,扫地机
t6,sweeping,扫地机
t7,sweeping,扫地机
t7pro,sweeping,扫地机
t7s,sweeping,扫地机
t7splus,sweeping,扫地机
g10,sweeping,扫地机
g10plus,sweeping,扫地机
t8,sweeping,扫地机
t8plus,sweeping,扫地机
米家扫地机,sweeping,扫地机
智能上下水及烘干套件（g10s、pro、auto的上下水）,sweeping,扫地机
智能上下水套件（g10spure的上下水）,sweeping,扫地机
g10s系列,sweeping,扫地机
