entity_name,washing,mopping,sweeping,content,ids
商品链接,True,True,True,商品链接,0
平台,True,True,True,平台,1
店铺名称,True,True,True,店铺名称,2
服务别名,True,True,True,服务别名,3
产地,True,False,False,产地,4
使用方式,True,False,False,使用方式,5
颜色分类,True,False,True,颜色分类,6
能效等级,True,False,False,能效等级,7
排水方式,True,False,False,排水方式,8
控制方式,True,False,False,控制方式,9
开合方式,True,False,False,开合方式,10
产品类型,True,False,False,产品类型,11
电机类型,True,False,False,电机类型,12
显示屏类型,True,False,False,显示屏类型,13
毛重,True,False,False,毛重,14
机器尺寸,True,False,False,机器尺寸,15
净重,True,False,False,净重,16
上市时间,True,True,True,上市时间,17
烘干方式,True,False,True,烘干方式,18
烘干公斤量,True,False,False,烘干公斤量,19
洗涤公斤量,True,False,False,洗涤公斤量,20
包装尺寸,True,True,True,包装尺寸,21
烘干功率,True,False,False,烘干功率,22
建议摆放尺寸,True,False,False,建议摆放尺寸,23
洗衣液容量,True,False,False,洗衣液容量,24
柔顺剂容量,True,False,False,柔顺剂容量,25
内筒,True,False,False,内筒,26
耗水,True,False,False,耗水,27
耗电,True,False,False,耗电,28
洗净比,True,False,False,洗净比,29
最高脱水转速,True,False,False,最高脱水转速,30
洗涤噪音,True,False,False,洗涤噪音,31
脱水噪音,True,False,False,脱水噪音,32
烘干噪音,True,True,False,烘干噪音,33
工作水压,True,False,False,工作水压,34
电源线长度,True,False,False,电源线长度,35
进水管长度,True,False,False,进水管长度,36
排水管长度,True,False,False,排水管长度,37
水龙头类型,True,False,False,水龙头类型,38
控制面板程序,True,False,False,控制面板程序,39
APP程序,True,False,False,app程序,40
面板操作流程,True,False,False,面板操作流程,41
标配,True,True,False,标配,42
洗烘程序时间,True,False,False,洗烘程序时间,43
洗涤程序时间,True,False,False,洗涤程序时间,44
烘干程序时间,True,False,False,烘干程序时间,45
APP远程预约,True,False,False,app远程预约,46
桶自洁,True,False,False,桶自洁,47
小件程序时长,True,False,False,小件程序时长,48
运行提示音,True,False,False,运行提示音,49
智能投放量,True,False,False,智能投放量,50
干衣度,True,False,False,干衣度,51
浸泡功能,True,False,False,浸泡功能,52
烘干时长,True,False,True,烘干时长,53
UVC紫外线除菌,True,False,False,uvc紫外线除菌,54
多维除菌作用,True,False,False,多维除菌作用,55
多维除菌程序,True,False,False,多维除菌程序,56
内筒照明,True,False,False,内筒照明,57
断电记忆,True,False,False,断电记忆,58
童锁功能,True,False,False,童锁功能,59
中途添衣,True,False,False,中途添衣,60
紧急开门,True,False,False,紧急开门,61
机门锁定/解锁,True,False,False,机门锁定/解锁,62
额定洗涤输入功率,True,False,False,额定洗涤输入功率,63
额定脱水输入功率,True,False,False,额定脱水输入功率,64
额定加热输入功率,True,False,False,额定加热输入功率,65
防水等级,True,False,False,防水等级,66
烘干类型,False,True,False,烘干类型,67
颜色分类(销售属性),False,True,False,颜色分类(销售属性),68
自清洁需要用水量,False,True,False,自清洁需要用水量,69
墙边漏扫,False,True,False,墙边漏扫,70
工作噪音,False,True,False,工作噪音,71
电源线,False,True,False,电源线,72
Wi-Fi连接,False,True,False,wi-fi连接,73
机身尺寸,False,True,True,机身尺寸,74
整体高度,False,True,False,整体高度,75
刷头尺寸,False,True,False,刷头尺寸,76
地板刷尺寸,False,True,False,地板刷尺寸,77
床刷尺寸,False,True,False,床刷尺寸,78
缝隙刷尺寸,False,True,False,缝隙刷尺寸,79
延长杆长度,False,True,False,延长杆长度,80
充电座尺寸,False,True,False,充电座尺寸,81
洗地风机电功率,False,True,False,洗地风机电功率,82
吸尘风机电功率,False,True,False,吸尘风机电功率,83
最大吸力,False,True,True,最大吸力,84
吸尘工作噪音,False,True,False,吸尘工作噪音,85
滚刷自清洁率,False,True,False,滚刷自清洁率,86
烘干效率,False,True,False,烘干效率,87
重量,False,True,False,重量,88
清水箱容量,False,True,True,清水箱容量,89
污水箱容量,False,True,True,污水箱容量,90
尘桶容量,False,True,False,尘桶容量,91
电池容量,False,True,True,电池容量,92
充电时长,False,True,True,充电时长,93
充电功率,False,True,False,充电功率,94
清水箱续航,False,True,False,清水箱续航,95
污水箱续航,False,True,False,污水箱续航,96
耗电量,False,True,False,耗电量,97
电池续航,False,True,True,电池续航,98
吸尘续航,False,True,False,吸尘续航,99
插头类型,False,True,False,插头类型,100
可清理垃圾,False,True,False,可清理垃圾,101
不可清理垃圾,False,True,False,不可清理垃圾,102
助力方式,False,True,False,助力方式,103
贴边,False,True,False,贴边,104
风机转速,False,True,False,风机转速,105
滚刷方式,False,True,False,滚刷方式,106
清洁模式,False,True,False,清洁模式,107
自清洁,False,True,False,自清洁,108
烘干模式,False,True,False,烘干模式,109
智能屏幕显示,False,True,False,智能屏幕显示,110
智能污渍检测,False,True,False,智能污渍检测,111
智能化体验,False,True,False,智能化体验,112
固件升级,False,True,False,固件升级,113
吸尘模式,False,True,False,吸尘模式,114
设备共享,False,True,False,设备共享,115
自清洁模式选择,False,True,False,自清洁模式选择,116
洗地设置,False,True,False,洗地设置,117
烘干模式选择,False,True,False,烘干模式选择,118
基座设置,False,True,False,基座设置,119
智能定时洗烘,False,True,False,智能定时洗烘,120
直立解锁自动运行,False,True,False,直立解锁自动运行,121
勿扰模式,False,True,False,勿扰模式,122
刷头探照灯,False,True,False,刷头探照灯,123
语音及音量,False,True,False,语音及音量,124
部件与耗材,False,True,False,部件与耗材,125
产品信息,False,True,False,产品信息,126
机身维护,False,True,True,机身维护,127
吸尘组件维护,False,True,False,吸尘组件维护,128
"耗材
更换周期",False,True,False,"耗材
更换周期",129
整机质保,False,True,False,整机质保,130
风机质保,False,True,False,风机质保,131
耗材质保,False,True,False,耗材质保,132
主机额定功率,False,True,True,主机额定功率,133
额定输入功率（热水洗布）,False,True,True,额定输入功率（热水洗布）,134
额定输入功率（充电 + 烘干状态）,False,True,True,额定输入功率（充电 + 烘干状态）,135
充电座额定功率,False,True,False,充电座额定功率,136
额定输入,False,True,False,额定输入,137
洗地机类型,False,True,False,洗地机类型,138
品牌,False,True,True,品牌,139
产品重量,False,False,True,产品重量,140
产品毛重,False,False,True,产品毛重,141
上下水套件额定功率,False,False,True,上下水套件额定功率,142
额定输入(电压),False,False,True,额定输入(电压),143
额定输入功率（集尘状态）,False,False,True,额定输入功率（集尘状态）,144
最大进水压力,False,False,True,最大进水压力,145
热水洗布,False,False,True,热水洗布,146
动态复洗拖布,False,False,True,动态复洗拖布,147
耗材更换周期,False,False,True,耗材更换周期,148
如何关闭/开启语音助手,False,False,True,如何关闭/开启语音助手,149
吸力大小,False,False,True,吸力大小,150
导航类型,False,False,True,导航类型,151
机载水箱容量,False,False,True,机载水箱容量,152
地毯模式,False,False,True,地毯模式,153
是否支持自动集尘,False,False,True,是否支持自动集尘,154
基座水箱容量,False,False,True,基座水箱容量,155
清洁液储存盒,False,False,True,清洁液储存盒,156
套餐类型,False,False,True,套餐类型,157
整体尺寸,False,False,True,整体尺寸,158
水箱续航,False,False,True,水箱续航,159
机载尘盒容量,False,False,True,机载尘盒容量,160
尘袋容量,False,False,True,尘袋容量,161
标配清单,False,False,True,标配清单,162
支持APP,False,False,True,支持app,163
回洗方式,False,False,True,回洗方式,164
清洗模式,False,False,True,清洗模式,165
热水洗布.1,False,False,True,热水洗布.1,166
集尘模式,False,False,True,集尘模式,167
集尘频率,False,False,True,集尘频率,168
烘干温度,False,False,True,烘干温度,169
扫拖模式,False,False,True,扫拖模式,170
充电模式,False,False,True,充电模式,171
是否有定时预约功能,False,False,True,是否有定时预约功能,172
最大噪音,False,False,True,最大噪音,173
拖地方式,False,False,True,拖地方式,174
适用面积,False,False,True,适用面积,175
电器基站功能,False,False,True,电器基站功能,176
避障方式,False,False,True,避障方式,177
软件算法,False,False,True,软件算法,178
是否支持上下水,False,False,True,是否支持上下水,179
最高高度,False,False,True,最高高度,180
水箱类型,False,False,True,水箱类型,181
是否支持烘干,False,False,True,是否支持烘干,182
悬崖传感器,False,False,True,悬崖传感器,183
升降模组,False,False,True,升降模组,184
扫地机类型,False,False,True,扫地机类型,185
采购地,False,False,True,采购地,186
型号,False,False,True,型号,187
附加功能,False,False,True,附加功能,188
实时视频,False,False,True,实时视频,189
质保年限,False,False,True,质保年限,190
是否带遥控器,False,False,True,是否带遥控器,191
生产企业,False,False,True,生产企业,192
主刷转速,False,False,True,主刷转速,193
有无虚拟墙,False,False,True,有无虚拟墙,194
电源线长,False,False,True,电源线长,195
是否支持银离子抑菌,False,False,True,是否支持银离子抑菌,196
功能,False,False,True,功能,197
清扫模式,False,False,True,清扫模式,198
有无地毯自动增压模式,False,False,True,有无地毯自动增压模式,199
清扫路线,False,False,True,清扫路线,200
是否支持自动回洗拖布,False,False,True,是否支持自动回洗拖布,201
保修期,False,False,True,保修期,202
